Name,Birthplace,Position,Age,B,T,H,W,Birthday,First Year
Edwin Diaz,Puerto Rico,RP,28,R,R,"6' 3""",207,22-Mar-94,2012
Adam Ottavino,United States,RP,36,S,R,"6' 5""",246,22-Nov-85,2006
Max Scherzer,United States,SP,37,R,R,"6' 3""",208,27-Jul-84,2007
Joely Rodriguez,Dominican Republic,RP,30,L,L,"6' 1""",200,14-Nov-91,2009
Seth Lugo,United States,RP,32,R,R,"6' 4""",225,17-Nov-89,2011
Taijuan Walker,United States,SP,29,S,R,"6' 4""",253,13-Aug-92,2010
Drew Smith,United States,RP,28,R,R,"6' 2""",190,24-Sep-93,2013
Tommy Hunter,United States,RP,35,R,R,"6' 3""",250,3-Jul-86,2007
David Peterson,United States,SP,26,L,L,"6' 6""",240,3-Sep-95,2015
Chris Bassitt,United States,SP,33,R,R,"6' 5""",217,22-Feb-89,2011
Carlos Carrasco,Venezuela,SP,35,R,R,"6' 4""",224,21-Mar-87,2004
Trevor Williams,United States,RP,30,R,R,"6' 3""",235,25-Apr-92,2011
Yoan Lopez,Cuba,RP,29,R,R,"6' 3""",208,2-Jan-93,2011
Tomás Nido,Puerto Rico,C,28,R,R,"6' 0""",228,12-Apr-94,2012
Luis Guillorme,Venezuela,2B,27,L,R,"5' 10""",209,27-Sep-94,2013
Travis Jankowski,United States,CF,31,L,R,"6' 2""",190,15-Jun-91,2010
Starling Marte,Dominican Republic,RF,33,R,R,"6' 1""",195,9-Oct-88,2007
Pete Alonso,United States,1B,27,R,R,"6' 3""",245,7-Dec-94,2014
Patrick Mazeika,United States,C,28,L,R,"6' 3""",210,14-Oct-93,2013
Mark Canha,United States,LF,33,R,R,"6' 2""",209,15-Feb-89,2010
Brandon Nimmo,United States,CF,29,L,R,"6' 3""",206,27-Mar-93,2011
Daniel Vogelbach,United States,1B,29,L,R,"6' 0""",270,17-Dec-92,2011
Jeff McNeil,United States,2B,30,L,R,"6' 1""",195,8-Apr-92,2011
Eduardo Escobar,Venezuela,3B,33,S,R,"5' 10""",193,5-Jan-89,2006
Francisco Lindor,Puerto Rico,SS,28,S,R,"5' 11""",190,14-Nov-93,2011
J.D. Davis,United States,3B,29,R,R,"6' 3""",218,27-Apr-93,2012
Dominic Smith,United States,1B,27,L,L,"6' 0""",239,15-Jun-95,2013
James McCann,United States,C,32,R,R,"6' 3""",232,13-Jun-90,2010
Tylor Megill,United States,SP,26,R,R,"6' 7""",241,28-Jul-95,2015
John Curtiss,United States,RP,29,R,R,"6' 5""",220,5-Apr-93,2012
Trevor May,United States,RP,32,R,R,"6' 5""",240,23-Sep-89,2008
Joey Lucchesi,United States,SP,29,L,L,"6' 5""",225,6-Jun-93,2015
Sean Reid-Foley,Guam,RP,26,R,R,"6' 3""",230,30-Aug-95,2014
Jacob deGrom,United States,SP,34,L,R,"6' 4""",180,19-Jun-88,2010
Adonis Medina,Dominican Republic,RP,25,R,R,"6' 1""",187,18-Dec-96,2014
Stephen Nogosek,United States,RP,27,R,R,"6' 2""",205,11-Jan-95,2014
R.J. Alvarez,United States,RP,31,R,R,"6' 1""",230,8-Jun-91,2010
Jose Butto,Venezuela,SP,24,R,R,"6' 1""",202,19-Mar-98,2017
Ronny Mauricio,Dominican Republic,SS,21,S,R,"6' 3""",222,4-Apr-01,2018
Nick Plummer,United States,RF,25,L,L,"5' 10""",200,31-Jul-96,2015
Michael Perez,Puerto Rico,C,29,L,R,"5' 10""",195,7-Aug-92,2011
Mark Vientos,United States,3B,22,R,R,"6' 4""",220,11-Dec-99,2017
Kramer Robertson,United States,2B,27,R,R,"5' 10""",166,20-Sep-94,2014
Khalil Lee,United States,RF,24,L,L,"5' 10""",220,26-Jun-98,2016
